path,ext,bytes,mtime_iso,total_lines,code_lines,comment_lines,blank_lines,functions,classes,py_top_level_functions,py_methods,py_async_functions,lines_per_function
D:\shared\TopicClassification\menu-planner\api\index.py,py,101,2026-03-18T12:54:20,4,2,0,2,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\data\taskSetting_MenuAnalysis.py,py,17220,2026-03-20T10:07:46,286,244,0,42,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\scripts\generate_360_day_plan.py,py,2712,2026-03-16T09:56:36,78,58,0,20,3,0,3,0,0,19.33
D:\shared\TopicClassification\menu-planner\scripts\json_to_sqlite - 複製 (2).py,py,18471,2026-03-16T21:00:03,555,430,27,98,22,0,22,0,0,19.55
D:\shared\TopicClassification\menu-planner\scripts\json_to_sqlite - 複製.py,py,11758,2026-03-16T21:00:03,381,300,13,68,15,0,15,0,0,20.0
D:\shared\TopicClassification\menu-planner\scripts\data\json_to_sqlite.py,py,31352,2026-03-18T20:01:47,910,696,45,169,29,0,29,0,0,24.0
D:\shared\TopicClassification\menu-planner\scripts\data\sqlite_to_excel.py,py,3556,2026-03-16T21:00:03,99,71,3,25,5,0,5,0,0,14.2
D:\shared\TopicClassification\menu-planner\scripts\validation\e2e_export_excel_check.py,py,3133,2026-03-16T21:00:03,101,83,0,18,3,0,3,0,0,27.67
D:\shared\TopicClassification\menu-planner\scripts\validation\playwright_admin_backup_panel.py,py,1650,2026-03-26T16:03:21,48,34,1,13,2,0,2,0,0,17.0
D:\shared\TopicClassification\menu-planner\scripts\validation\playwright_ui_smoke.py,py,1844,2026-03-16T21:00:03,58,44,0,14,2,0,2,0,0,22.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\__init__.py,py,0,2026-02-10T19:25:14,0,0,0,0,0,0,0,0,0,0.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\export_excel.py,py,13391,2026-03-20T20:47:42,378,297,15,66,11,0,7,0,0,27.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\main - 複製.py,py,1779,2026-03-16T19:36:04,61,42,1,18,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\main.py,py,8405,2026-03-20T21:54:12,244,189,3,52,16,0,16,0,0,11.81
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\procurement.py,py,6090,2026-03-20T20:47:42,168,138,0,30,6,0,6,0,0,23.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\routes\admin_catalog.py,py,28884,2026-03-27T15:16:02,799,664,1,134,41,13,41,0,0,16.2
D:\shared\TopicClassification\menu-planner\src\menu_planner\config\loader.py,py,3789,2026-03-20T09:52:09,108,92,1,15,2,0,2,0,0,46.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\db\admin_repo.py,py,36870,2026-03-25T21:22:41,949,859,6,84,36,1,0,36,0,23.86
D:\shared\TopicClassification\menu-planner\src\menu_planner\db\backup.py,py,4460,2026-03-25T22:11:01,146,119,0,27,8,0,8,0,0,14.88
D:\shared\TopicClassification\menu-planner\src\menu_planner\db\repo.py,py,8927,2026-03-20T15:52:48,288,231,5,52,15,6,6,9,0,15.4
