path,ext,bytes,mtime_iso,total_lines,code_lines,comment_lines,blank_lines,functions,classes,py_top_level_functions,py_methods,py_async_functions,lines_per_function
D:\shared\TopicClassification\menu-planner\scripts\generate_360_day_plan.py,py,2712,2026-03-16T09:56:36,78,58,0,20,3,0,3,0,0,19.33
D:\shared\TopicClassification\menu-planner\scripts\json_to_sqlite - 複製 (2).py,py,18471,2026-03-16T21:00:03,555,430,27,98,22,0,22,0,0,19.55
D:\shared\TopicClassification\menu-planner\scripts\json_to_sqlite - 複製.py,py,11758,2026-03-16T21:00:03,381,300,13,68,15,0,15,0,0,20.0
D:\shared\TopicClassification\menu-planner\scripts\data\json_to_sqlite.py,py,31337,2026-03-16T21:00:03,910,696,45,169,29,0,29,0,0,24.0
D:\shared\TopicClassification\menu-planner\scripts\data\sqlite_to_excel.py,py,3556,2026-03-16T21:00:03,99,71,3,25,5,0,5,0,0,14.2
D:\shared\TopicClassification\menu-planner\scripts\validation\e2e_export_excel_check.py,py,3133,2026-03-16T21:00:03,101,83,0,18,3,0,3,0,0,27.67
D:\shared\TopicClassification\menu-planner\scripts\validation\playwright_ui_smoke.py,py,1844,2026-03-16T21:00:03,58,44,0,14,2,0,2,0,0,22.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\__init__.py,py,0,2026-02-10T19:25:14,0,0,0,0,0,0,0,0,0,0.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\export_excel.py,py,8869,2026-02-11T15:17:10,266,201,15,50,9,0,5,0,0,22.33
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\main - 複製.py,py,1779,2026-03-16T19:36:04,61,42,1,18,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\main.py,py,3957,2026-03-16T19:28:30,128,89,3,36,12,0,12,0,0,7.42
D:\shared\TopicClassification\menu-planner\src\menu_planner\api\routes\admin_catalog.py,py,8523,2026-03-17T15:42:54,254,193,1,60,18,6,18,0,0,10.72
D:\shared\TopicClassification\menu-planner\src\menu_planner\config\loader.py,py,1874,2026-02-11T16:35:38,55,42,1,12,2,0,2,0,0,21.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\db\admin_repo.py,py,15265,2026-03-17T15:42:54,387,346,6,35,25,1,0,25,0,13.84
D:\shared\TopicClassification\menu-planner\src\menu_planner\db\backup.py,py,1550,2026-03-16T20:52:25,59,45,0,14,2,0,2,0,0,22.5
D:\shared\TopicClassification\menu-planner\src\menu_planner\db\repo.py,py,6417,2026-02-10T19:25:14,194,166,3,25,8,6,0,8,0,20.75
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\backtracking.py,py,23137,2026-03-16T09:56:36,600,479,42,79,8,1,6,0,0,59.88
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\constraints.py,py,7992,2026-03-05T18:07:53,252,198,12,42,11,1,11,0,0,18.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\errors.py,py,605,2026-02-10T19:35:04,20,16,1,3,1,1,0,1,0,16.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\explain.py,py,5040,2026-02-11T15:00:59,146,111,11,24,3,0,1,0,0,37.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\features.py,py,4715,2026-02-11T17:04:02,142,102,12,28,4,1,4,0,0,25.5
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\local_search.py,py,11092,2026-03-05T17:58:02,294,226,21,47,5,0,4,0,0,45.2
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\planner.py,py,12488,2026-03-17T10:47:42,400,333,3,64,14,2,14,0,0,23.79
D:\shared\TopicClassification\menu-planner\src\menu_planner\engine\scoring.py,py,5370,2026-03-02T11:28:11,140,107,9,24,2,1,1,0,0,53.5
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\admin.js,js,18138,2026-03-17T15:42:54,553,450,12,91,17,0,0,0,0,26.47
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\api.js,js,1294,2026-03-16T19:28:30,49,44,0,5,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\app - 複製.js,js,5343,2026-02-10T19:25:14,174,146,1,27,4,0,0,0,0,36.5
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\app.js,js,10380,2026-03-16T19:28:30,330,285,0,45,10,0,0,0,0,28.5
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\cfg_transform.js,js,1622,2026-03-16T19:28:30,49,40,0,9,1,0,0,0,0,40.0
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\dom.js,js,828,2026-03-16T19:28:30,25,25,0,0,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\render.js,js,6543,2026-03-17T10:47:42,178,156,0,22,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\score_explain.js,js,3649,2026-03-16T19:28:30,112,100,0,12,3,0,0,0,0,33.33
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\state.js,js,350,2026-03-17T10:47:42,14,12,0,2,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\admin\api.js,js,3638,2026-03-17T15:42:54,81,66,0,15,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\shared\catalog_cache.js,js,478,2026-03-17T10:47:42,15,14,0,1,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\shared\html.js,js,198,2026-03-17T10:47:42,9,9,0,0,0,0,0,0,0,inf
D:\shared\TopicClassification\menu-planner\src\menu_planner\ui_static\shared\http.js,js,1124,2026-03-17T10:47:42,41,34,0,7,1,0,0,0,0,34.0
D:\shared\TopicClassification\menu-planner\tests\test_constraints.py,py,2501,2026-03-16T20:52:25,78,60,3,15,4,0,4,0,0,15.0
D:\shared\TopicClassification\menu-planner\tests\test_db_backup.py,py,1729,2026-03-16T20:52:25,53,35,1,17,3,1,2,1,0,11.67
D:\shared\TopicClassification\menu-planner\tests\__init__.py,py,0,2026-03-16T15:22:40,0,0,0,0,0,0,0,0,0,0.0
D:\shared\TopicClassification\menu-planner\tests\e2e\test_e2e_excel.py,py,1255,2026-03-16T21:00:03,57,36,4,17,2,0,2,0,0,18.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_admin_catalog_backup_flow.py,py,2013,2026-03-16T21:00:03,66,43,0,23,8,1,2,4,0,5.38
D:\shared\TopicClassification\menu-planner\tests\unit\test_admin_catalog_cost_preview.py,py,1249,2026-03-17T15:42:54,34,22,0,12,5,1,2,3,0,4.4
D:\shared\TopicClassification\menu-planner\tests\unit\test_admin_repo_cost_preview.py,py,3587,2026-03-17T15:42:54,114,96,0,18,4,0,4,0,0,24.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_constraints.py,py,2501,2026-03-16T21:00:03,78,60,3,15,4,0,4,0,0,15.0
D:\shared\TopicClassification\menu-planner\tests\unit\test_db_backup.py,py,1729,2026-03-16T21:00:03,53,35,1,17,3,1,2,1,0,11.67
D:\shared\TopicClassification\menu-planner\tests\unit\test_planner_auto_relax.py,py,2327,2026-03-17T10:47:42,68,54,0,14,5,0,5,0,0,10.8
